,dec,parallax,parallax_error,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pmdec,pmdec_error,pmra,pmra_error,ra,radial_velocity
219,-4.794909167383727,0.4485974347865237,0.43133866067779386,19.05847921488291,18.77237413365852,18.295888458896872,-2.536980842730642,0.5009935221171266,-2.1575920844736136,0.6416069456109669,23.891491655286732,
1075,-6.754429443361329,0.07888480284860236,0.04166748972307638,15.300202702026588,14.699197243149516,13.969574455497966,-2.5042962783791642,0.048874938429576825,-1.1513356862878974,0.06070395729902413,37.289238079289106,
704,-4.482117427556354,-0.16097725667636775,1.0723165530471992,20.176223534381943,19.91120436569683,19.465532591400198,-3.0947885044076977,1.2381718553822625,0.7746696074338817,1.6149068911571989,17.140504971874222,
405,-2.7936892223791436,-0.8044453014164621,0.4805293885866787,19.16403785772212,18.891141436572184,18.431690914880747,-3.141696534839811,0.5517943402838557,-1.8585870765324035,0.7350470732194533,7.816471184840034,
739,-3.19868193604748,-0.8059130743451852,0.6754048407372971,19.607060745984022,19.34012342597054,18.9288267701216,-3.630339545235639,0.7756467054660575,-1.5419806994314509,1.0255291636515844,11.955376268866287,
1067,-11.327015674800501,-0.15451443487590522,0.938853071460712,20.30143807927388,19.88948354840909,19.462116369314174,-0.4645346268725217,1.1094308826225572,-1.2517394918767242,1.2332010622254794,71.15611927474873,
205,-9.627199555235345,0.5351425713303697,0.6824491319636095,19.693533289629187,19.46077836781097,19.007364703887166,-1.7166473868682641,0.8053154402369084,-0.7003777717516838,0.9294549745026768,60.27191432542546,
726,-8.552403223469284,0.5238141414101859,0.5991159629364808,19.57736731108375,19.268559319139282,18.835622784714435,-1.9611303744240336,0.7025153026236055,0.07601385358750756,0.8375619336133859,44.58031111301315,
744,-5.325948451481184,-0.7795981463504852,0.5934202827267975,19.444088639705587,19.209345501864988,18.800673503947888,-3.869938124016695,0.6918044853311089,-1.5688733783780309,0.8735167328852463,27.351040439277767,
773,-9.250640115884394,-0.21408990637432893,0.8757643310700061,20.02817200581578,19.764060649919568,19.289919434019414,-3.0315838199546947,1.0334345884361542,1.6753583344215843,1.1927387344796718,57.37806599923722,
450,-5.557275494390498,0.20008304888184705,0.24769664846230685,18.394632009751433,18.000516446101194,17.431787783920374,-2.619595641765365,0.2905420634472041,-0.8540846867655959,0.3608608743002797,32.2586334422063,
200,-11.322669386078005,-0.9591422981890424,0.8280677587166853,20.095636053171663,19.733483280264032,19.2572175462098,-2.0619932370579708,0.9785172700079716,0.4963034548977995,1.0876824826863458,70.38150955091878,
566,-3.1888100270591044,-1.2030007757016845,0.8007672234157183,19.77526120898543,19.559722745499663,19.08473751885041,-1.4388581182879376,0.9196150534094109,-0.8503845783988662,1.2158783760161669,11.985281369741118,
270,-5.953429670798418,-0.02366942798263359,0.8179527002190512,19.862117671223306,19.609856531438915,19.174286977415953,-2.868016900241848,0.9535625310952628,-0.33113772623169657,1.2040292371990842,29.483414899758625,
167,-2.9735397629699434,-0.08303721933611387,0.9252527360368646,19.978763107785284,19.72017765194614,19.27796856170997,-2.9904931142060054,1.0624724214660606,-3.7652631844767366,1.4153230411411355,3.4897345336238503,
849,-10.00218185785433,0.8680738307776764,1.017469174571514,20.21968145773528,19.978656906579,19.535347838886587,-3.5494974064945866,1.202330544256367,-0.09012211910414557,1.3364647834736088,61.696995603239145,
836,-8.736058666106343,0.7721645445884076,1.0425574020397763,20.272627834665112,19.956022775156285,19.504867047394487,-0.3525204362050467,1.2224887569455474,-2.748757438270827,1.4574914500282838,51.40414485561817,
356,-3.8679298657864414,0.4888961020723445,0.4530775018559384,19.12792733562562,18.822183137453987,18.351594739701525,-4.124287503059748,0.520322109701965,-1.8066454521941162,0.6879491580789481,12.376411187545429,
940,-10.060776435523746,0.023852621634055285,0.13995152135306266,17.68517964484375,17.217513518562775,16.59528422168129,-2.49589454179504,0.1653789550025404,-0.4605194831969614,0.18382893984055204,61.31551965792549,
956,-4.041291185581511,0.011494016989172684,0.9061945603912775,19.968813898726047,19.705745350098127,19.267768205171095,-3.0754026537703583,1.046355758463793,-1.6058761301910462,1.3647274549165982,17.734246059557808,
1023,-8.29030155031132,-1.7465757692462054,1.026780261141493,20.20105116490207,19.935270685755498,19.48015660669088,-4.169116263401534,1.2039886941891362,-2.4410895348431207,1.4354350645284069,43.41149306982113,
788,-8.32981840477442,0.14285643878792473,0.06956949123685953,16.38408142744581,15.818407346242822,15.111824358983435,-2.4651687347946574,0.08157624769349417,-0.7240205213690118,0.09725789530836006,46.96309414181966,
1010,-6.738354745517838,0.4619434961563002,1.1118193046318372,20.176935376373656,19.976820037607414,19.57312713992964,0.7562954427957358,1.2733532611948395,0.394565258730039,1.55227826126609,40.458521288204324,
510,-9.713914110495104,0.03995351450222088,0.0772206299481323,16.607040660884206,16.073492601138327,15.395037020164864,-1.903540088154048,0.0911232247055852,-0.4562467091155429,0.10516988780249358,58.593105527078066,
1064,-8.91583190249055,-0.3528981660150071,0.8714337985332871,20.014099260653587,19.76197214681525,19.297705472339388,-1.1645930438973071,1.0283243984557908,-1.3551581513100528,1.1868408077039163,53.12690030312519,
148,-8.879215569151551,-1.9629884500110697,0.8889633136020003,19.995335484827773,19.760097210097282,19.334756749186965,-1.2176788591156888,1.0423863991462432,-2.483894409051405,1.2427674739335792,48.40818710660383,
1062,-9.87719006321188,0.8040346541459839,0.7030661935802892,19.77261128958742,19.4973223525354,19.004886556820487,-1.6337709102446318,0.8296443422379344,-1.8652523670269685,0.9575341815552444,58.217266492324704,
299,-5.20463548021488,-0.5704579070476785,0.6192596745164093,19.506296031209622,19.243350298327112,18.817623857858415,-3.0896596033530868,0.7192610209193182,-3.0256958408804344,0.921135396679201,23.843490619686452,
665,-7.365744533364104,0.07100421553240155,0.017397921972911474,13.904447477828725,12.90367943307995,11.948874863643676,-2.442297924046049,0.0204005687979267,-0.6551272036233514,0.024322231537722318,46.22542438749267,-59.311172595082134
313,-11.0912440182318,0.05614240760651496,0.8107086810605338,19.984965969404087,19.70501194652919,19.25374913873779,-0.7468994133256512,0.9580042659703814,0.13822488143765788,1.0648810096384769,67.2386753335765,
1136,-6.418268315133867,0.4687040106347952,0.4929477914160614,19.265269379143017,18.97174806348279,18.52670220515456,-2.6780642911869528,0.5782156092094206,-0.3050176387542705,0.7181589742901247,38.478587802419575,
852,-9.415616274593207,0.2981763018053229,0.8153206356201994,19.969728784215327,19.67898812397452,19.287957655154862,-1.7719358991611152,0.962108772443612,0.15313261886566534,1.110418029855868,59.922980420835636,
465,-7.5290242112293955,0.015142694205059412,0.8588814812259744,19.991775380369308,19.716237953339704,19.18933004388559,-1.1870016574753255,1.0071128479767228,-1.5212822679448328,1.2007131818596266,45.43898633887363,
29,-11.430390752131546,0.6740055647648775,0.5809967037844532,19.776585558313123,19.33340075064605,18.716595496091266,-2.1160877961840727,0.6866586414895542,-0.01541300583890992,0.7197679680184007,71.04557020415822,
114,-3.19868193604748,0.2733592303250483,0.4227655876411679,19.04600332026764,18.730709687959333,18.220956120360444,-2.197315959471086,0.4855113784501862,-2.8396209269255714,0.64192379646114,11.955376268866287,
618,-10.780721107239287,0.4847534182800798,1.000610166650193,20.234112845283693,19.963835152409434,19.49047757989403,-2.2445809789840245,1.182408466343588,1.1349043296962396,1.3143201613717777,60.44017287002672,
