,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
2199,6096298432738779904,214.35703008770395,-45.50645981868775,-0.09246157781577892,0.3114940530305646,-8.859373462287483,-0.964259640347845,18.443995,18.878328,17.823317,1.0550117,0.4343338,0.62067795,False
2200,6092869777525621760,215.97189676828543,-47.255956491905884,0.10528134009706253,0.5364357771400018,-4.828420207434713,-6.155569110424278,19.466791,20.636106,18.494154,2.1419525,1.1693153,0.9726372,False
2201,6095636354941924608,212.4261078519367,-47.71170671291216,0.16006033561674676,0.7362688292095082,-5.721038304614607,-2.979687900353489,19.657127,20.234606,18.964502,1.2701035,0.5774784,0.69262505,False
2202,6092115581270332672,217.36134685009455,-47.740336758414074,0.17458201028514628,0.3588379323428748,-8.297889128227201,1.1255904292777799,19.210659,19.942389,18.266537,1.6758518,0.7317295,0.9441223,False
2203,6091839878737675136,217.47045908784511,-48.683713083617825,0.13922233742207668,0.5013822382939996,-10.533307137212002,-2.8890204887658713,19.710032,20.19976,19.075632,1.1241283,0.48972893,0.6343994,False
2204,6092679252775785984,214.1463169359863,-47.7318307562525,0.03423348858623353,0.26334165142235477,-11.056236261269401,-0.8685433936885052,18.516144,18.869982,17.882196,0.98778534,0.35383797,0.6339474,False
2205,6091095341860184576,212.37440631177213,-48.50648413866081,0.08482692937641129,0.4941875051190956,-6.325094631839278,-2.173037118497982,19.83597,20.331692,19.029884,1.3018074,0.49572182,0.8060856,False
2206,6093279006307857280,216.3826282163107,-45.742823410609276,-0.2994739556334436,1.021783514895129,-6.109767304774284,-4.3769847384669625,20.411942,20.555517,19.624836,0.9306812,0.14357567,0.78710556,False
2207,6091996799652902144,216.15490753661516,-48.235231553858384,0.03130850772817675,0.32848230680186835,-7.520012689950328,-5.754553987302596,18.781912,19.23429,18.210926,1.0233631,0.45237732,0.5709858,False
2208,6095743419885868288,212.65932538483827,-46.906361567549546,-0.05986536849147956,0.17923746386591735,-3.636285001536566,-3.040807639317869,18.050972,18.567785,17.374125,1.1936607,0.5168133,0.67684746,False
2209,6092525492949097088,214.76818326614293,-47.402697653728474,0.08447763150100313,0.19326434585230634,-6.25441422338672,-1.068807171685068,18.077696,18.444536,17.53308,0.91145706,0.36684036,0.5446167,False
2210,6095839146113364480,212.80215155941295,-46.73983485067737,-0.19726773658007246,0.5135261181260822,-6.566489664960583,1.2292164718482295,19.176512,19.545925,18.472055,1.0738697,0.36941338,0.7044563,False
2211,6092981210458458624,216.45999712305442,-46.741477435567134,-0.025748211380618086,0.2941156332667422,-9.566504245489286,-2.291558590395421,18.83489,19.249182,18.2233,1.0258808,0.41429138,0.61158943,False
2212,6092941726817050240,215.76354791625667,-46.81045593410442,0.15911100604705913,1.2087247931424552,-7.347873629419036,-1.0861950582260163,20.360115,21.350636,19.82826,1.5223751,0.9905205,0.5318546,False
2213,6091912313350840448,217.1715246882208,-48.15205966610407,0.04084507936985578,0.23277596340134285,-7.069861620332173,-2.900362100585766,18.499052,18.983603,17.89771,1.0858917,0.48455048,0.60134125,False
2214,6099113251228045568,217.37912977430236,-45.4868861294382,0.3115382324700071,0.6715850724123981,-12.135711900817396,-1.052637575751688,19.512667,19.800283,18.98657,0.8137131,0.28761673,0.52609634,False
2215,6093296735936333440,216.11599849265525,-45.60400534224621,-0.01119403026850721,0.6010399747844698,-7.494751324058372,-3.8530552618500886,19.552841,19.830502,19.119526,0.71097565,0.27766037,0.43331528,False
2216,6093047142497712384,216.1972548136291,-46.44202449891186,0.03518311962324157,0.8003254029422024,-2.358078382169456,-4.297788770829808,20.323513,20.37392,19.78715,0.586771,0.05040741,0.5363636,False
2217,6096288056099954304,213.91968767713647,-45.531641159279474,0.128834028119003,0.42369544222903427,-5.332932730224558,-1.4322054162047029,18.31023,18.778885,17.712847,1.0660381,0.46865463,0.5973835,False
2218,6092168804507914752,217.5539976065745,-47.170071757741944,0.19671456416436164,0.8433898469449743,13.350010969061083,-0.9125797476184115,19.83282,21.465395,18.507708,2.9576874,1.6325741,1.3251133,False
2219,6096065581090142976,212.5236505856182,-46.160458730873735,0.046486419642647867,0.34859003526250626,-2.4251806903916995,-0.17116321583184116,17.608265,17.827362,16.730318,1.097044,0.21909714,0.87794685,False
2220,6095942809444029952,212.26166758717733,-46.72563567069664,-0.16715067496863759,1.1707917649454278,-6.641678482984967,-4.6946580001411835,20.1215,20.592695,19.597008,0.9956875,0.47119522,0.52449226,False
2221,6091797929783904896,217.08497455004348,-48.555557727324114,0.10140787973036065,0.2948219827020812,3.665549832800396,-0.7780051666253947,18.787308,19.110512,18.224571,0.88594055,0.32320404,0.5627365,False
2222,6092524530876407808,214.75087593123158,-47.45254485036001,0.020678793196932548,0.22323797500181328,-8.428092033195785,2.4777538970306985,18.324183,18.826452,17.644087,1.1823654,0.50226974,0.6800957,False
2223,6095659479045956352,212.7814131498772,-47.650028120132475,0.31344506453804477,1.072112283026791,-4.0752004021057555,-7.383653212641088,20.253971,20.825666,19.70097,1.1246967,0.5716953,0.5530014,False
2224,6093149225278251904,215.1689783453519,-46.45858540099094,0.019535628133140866,0.9247515188303459,-3.6559679228497717,-3.499509973216878,20.355616,20.651701,19.942478,0.7092228,0.29608536,0.41313744,False
2225,6092989010111532928,216.69979548282637,-46.747351342806084,0.0037614640490383207,0.3166988504256726,-6.756923888725555,-5.596871850949109,18.41716,18.956747,17.46951,1.4872379,0.539587,0.9476509,False
2226,6092193341658055296,216.47883834081495,-47.43174320861935,0.05500205267849847,0.27576667709920577,-7.558080275741911,-3.3800481954944006,18.578678,19.147392,17.866596,1.280796,0.56871414,0.7120819,False
2227,6092462339748190464,214.1540545797518,-48.27729971447075,0.19070823958801914,0.5313962025847854,-6.595206646280883,0.6532642736526197,19.957832,20.398619,19.261974,1.1366444,0.44078636,0.695858,False
2228,6095708239806542464,212.16023289501274,-47.30520266422606,0.20063647169552223,0.7029323757698961,-10.302631625714923,-1.4260076420929866,20.091314,20.939081,19.25199,1.6870918,0.8477669,0.83932495,False
2229,6092915544697947520,215.67502629780796,-47.184278727880525,-0.27493934499753453,0.6296817069747546,-4.272015341932194,-0.3655390402149048,19.629124,20.128323,18.841707,1.2866154,0.4991989,0.78741646,False
2230,6091925816728530048,217.37255350589993,-47.91191938864755,0.14810133448522972,0.4277385223392002,-5.0485443091298094,-2.281625950210988,19.364513,19.892477,18.581898,1.3105793,0.52796364,0.78261566,False
2231,6098177876066388608,217.66103954160909,-46.96936436616343,3.528657459996121e-05,0.24105176607272238,-7.742525690376752,-1.173838530973896,18.377344,18.782034,17.789003,0.99303055,0.4046898,0.58834076,False
2232,6093244955811186688,215.96950997369436,-46.17029337478257,0.2579284289947085,0.6605551339933877,-2.634943163137237,0.9763791254545602,19.227804,19.839357,18.436712,1.4026451,0.6115532,0.7910919,False
2233,6092911838142317312,215.15198662927224,-47.091467197112806,-0.2863010726158898,0.7174386541868507,-8.662576301549109,-3.297311943208335,20.330801,20.727026,19.851662,0.8753643,0.39622498,0.47913933,False
2234,6092502579301371776,214.9567905320113,-47.74203851299742,-0.2704487572157567,1.0400096403780772,-3.2537903839567344,-1.7812649853079494,20.297306,20.535215,19.354174,1.1810417,0.23790932,0.9431324,False
2235,6091900321809203840,217.28160330849448,-48.25477481459041,0.41510624011335606,1.3270298104359541,0.9460680234005774,-1.2544209025492539,20.672186,21.093687,20.859991,0.23369598,0.42150116,-0.18780518,False
2236,6092726600497947008,214.19186765922214,-47.28877297392992,0.13695547038547062,1.3673659438166097,-1.789252422778966,-1.290237612250047,20.416422,20.48358,19.71916,0.76441956,0.067157745,0.6972618,False
2237,6096135262634124800,212.39194176459046,-45.77287928267356,0.31157401651676553,1.0285116801867176,-16.056936404919217,-7.888210486296659,19.940737,21.158054,18.943424,2.2146301,1.2173176,0.99731255,False
2238,6096235489996934016,214.81901080057995,-45.72447974433645,0.1031982836125897,1.0054867440011535,-3.4973987471592296,-3.141423029621839,19.694498,20.113419,18.946978,1.166441,0.41892052,0.74752045,False
2239,6092096859506841856,216.22665621920345,-47.60033433791268,-0.13120273155861975,0.8590577594966077,-6.413535233085209,-2.775226665588217,19.769268,19.948067,18.798956,1.1491108,0.17879868,0.9703121,False
2240,6096085986475888384,213.06454352224492,-45.90361811503923,-0.2635368863931668,0.7804623821565916,-2.5052863478988794,0.9302417069657678,19.10938,19.610405,18.540531,1.0698738,0.50102425,0.56884956,False
2241,6095803794240778368,213.52112567593855,-46.7783207675925,-0.5534115881443274,1.4217932046597168,-7.53108434931011,5.9316283897680595,20.469807,21.153603,19.411572,1.7420311,0.6837959,1.0582352,False
